Electorate,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Not stated,Not applicable,Total
Pearce,845,11288,4290,5902,8228,7858,8621,8239,9729,11461,9268,8176,6122,10645,2491,2973,7401,35338,158900
Perth,722,9595,3873,5819,8628,9499,9343,8389,10228,12510,10402,9939,7937,16069,4382,7986,9926,23195,168448
Swan,937,12720,4674,6964,10291,10509,10670,9660,11923,14238,10978,9733,6900,13083,3324,5494,11949,28589,182642
Tangney,817,14899,6800,7514,9170,9369,9279,8493,9619,11184,9285,8981,6994,14336,4002,7761,7400,32765,178670
Aston,814,13397,5586,7292,10384,10463,10410,10105,12014,14047,10570,9395,6622,10909,2335,2753,6929,29694,173720
Ballarat,885,8013,4354,6107,10552,11366,10840,9717,10951,11567,8088,6798,4767,7232,1445,2524,8704,27974,151898
Bendigo,826,7509,4478,6549,11153,12131,11297,10179,11641,11772,8226,7272,4931,7216,1429,2047,10393,28169,157214
Bruce,1568,17762,5439,8658,12714,11915,10913,11081,14168,15297,10959,8600,5651,8320,1645,2103,10657,37609,195072
Calwell,1944,16118,4729,9760,12719,10547,9382,9558,11918,12437,8525,6760,4305,5843,1064,1141,9915,42328,179010
Casey,861,10371,5072,6260,9281,10219,10005,9783,11314,12577,9674,8728,6095,9964,2093,2874,7247,30133,162538
Chisholm,866,17803,6795,8222,10238,10309,10095,9222,10817,12318,9772,9006,6945,14270,4537,9900,7981,30519,189630
Cooper,872,10103,4141,6304,10511,10206,8881,8672,10103,11632,9999,9445,7285,13091,3233,5601,8088,24729,162885
Corangamite,658,7165,4249,5482,8419,9027,9447,8645,9397,10498,7838,7320,5271,8589,1794,3032,7153,25946,139922
Corio,895,9347,4850,6905,11079,12025,11108,10085,11501,12368,9321,8031,5745,9549,2009,3409,10207,29671,168104
Deakin,792,13693,6259,7592,9795,10758,10898,10000,11734,13228,10420,9642,7161,13752,3371,4888,7103,32945,184037
Dunkley,879,10313,4416,6181,9674,11154,10496,9895,12006,13436,10292,8800,6435,10166,1926,2805,9240,31226,169345
Flinders,1031,8855,4919,6418,10700,12252,11966,10346,11041,11601,8651,7786,5285,9129,2254,4825,10474,26338,163863
Fraser,1510,15551,4297,8754,14097,12280,10329,10528,13142,13599,10167,8692,6408,10871,2469,3475,12300,30680,189151
Gellibrand,1076,16391,4818,6470,8583,8348,8633,8901,11716,13414,10800,9956,7578,14892,3818,5479,10220,46950,198038
Gippsland,1124,8340,4242,6850,13041,13234,11291,10050,10466,10467,7105,6111,4006,5857,1274,2044,12900,25949,154357
Goldstein,725,12472,5820,5862,7094,8207,7961,7561,8776,10364,8909,8602,7082,14994,5147,14338,7052,29908,170886
Gorton,1489,16520,4912,7609,10954,9250,8436,9481,12099,13185,10060,8420,5774,8278,1666,1884,10526,37411,177966
Hawke,1249,12180,4191,6273,9510,9530,9274,9109,11534,12839,9679,7995,5428,8012,1441,1707,8751,36981,165679
Holt,1426,15363,3928,6367,8731,8503,8705,10165,14201,15464,10678,7945,4839,6112,962,908,8279,41904,174480
Hotham,1110,17587,5754,8376,12972,12738,11585,11072,14080,14534,10831,9317,6773,12108,2854,4290,9890,30379,196246
Indi,978,7343,4347,6234,11242,12061,10968,10584,12233,12835,8603,6911,4693,6431,1139,1939,11260,26814,156620
Isaacs,1158,15079,5191,7482,10892,10913,10100,10168,13027,13165,9893,8297,6109,10476,2452,3683,7832,32279,178210
Jagajaga,903,11238,5202,6248,8400,9037,9007,8558,9366,11378,9557,9379,7152,13849,3634,6252,6163,29653,164977
Kooyong,698,14204,5533,5789,6636,6936,7780,7454,8666,11146,9648,9697,7587,15317,5411,17477,7199,25495,172664
La Trobe,934,11541,4234,5175,7406,7302,8238,8849,11482,13247,9903,8271,5576,8092,1530,1787,7377,38074,159025
Lalor,1281,15894,4158,6606,9034,8406,9081,9745,13157,14570,10114,8149,5380,8404,1494,1424,9720,43116,179732
Macnamara,591,9670,3301,4485,6283,7111,7755,7572,9948,12934,11543,11487,8827,18284,5331,12750,10954,19533,168371
Mallee,1339,8152,4188,7209,13797,14641,12131,11527,13072,12745,7977,6388,3856,5178,883,1665,14165,28724,167639
Maribyrnong,913,10988,4561,6556,10011,9928,8728,8419,9831,11693,9955,9684,7500,14022,3610,6550,7772,27155,167869
McEwen,867,11206,4370,5279,6937,7218,7701,8176,9855,11626,9274,8362,5867,10423,2204,3269,6609,35822,155045
Melbourne,788,15424,4292,7178,9705,9338,11213,10250,12442,16322,14200,13417,10427,20697,5234,10892,15399,14614,201840
Menzies,946,18294,6866,8351,11563,11362,10633,10074,11229,12738,9737,8928,6796,13111,3668,6956,7505,29866,188620
Monash,976,7839,4256,6621,11596,12368,11017,9853,10367,10347,7034,5755,3979,5755,1223,2060,10230,25066,146349
Nicholls,1357,8675,4434,6919,12685,13047,11352,11097,12421,12624,8423,6806,4307,5903,1094,1704,12568,29696,165099
Scullin,1536,14594,4470,7845,12955,10619,9535,9973,12359,13345,9400,7613,4815,6455,1083,1052,8444,33358,169443
Wannon,1132,7231,4660,6696,11289,12966,11364,10868,12180,12726,8548,6891,4442,6261,1243,2485,11854,26799,159632
Wills,1011,9875,3919,6075,10209,10309,9556,8914,10741,12686,10711,10452,8004,14891,3313,5723,8035,24795,169207
Adelaide,890,13937,5477,8756,12509,13422,12517,11495,13849,16100,11995,10152,7601,12287,2706,5671,9067,29197,197621
Barker,1110,7978,4650,7589,14158,14515,12435,11989,13701,13644,8686,6755,4336,5663,1002,1815,12395,29282,171687
Boothby,712,9896,5662,7391,10770,12462,12182,10625,11727,13794,10761,9657,7241,12001,2580,4790,6274,27102,175626
Grey,1232,7933,4306,8392,15424,15392,11782,10860,11181,11458,8134,6910,4758,6996,1405,1862,13631,29825,171485
Hindmarsh,951,9576,4737,7672,12552,13567,11713,10668,12677,14555,10929,9098,6386,9760,1891,2806,6552,26443,172532
Kingston,695,9059,4825,7664,12939,12876,11814,10993,12813,14542,10081,7873,5334,6834,963,1168,6306,29334,166105
Makin,831,11408,4987,7975,13017,12814,11507,10806,13098,14972,10633,8267,5433,7481,1119,1230,7080,31093,173757
